ID,FRAZA,WYNIK OGÓLNY,WOLUMEN,KONKURENCJA,WYSZUKANIA/MC
1,muzyka chrześcijańska,74,67,15 - niska,31493
2,piosenki religijne,74,68,17 - niska,34930
3,muzyka katolicka,69,57,14 - niska,6794
4,muzyka religijna polska,68,56,13 - niska,5357
5,muzyka chrześcijańska z tekstem,67,53,12 - niska,3765
6,psalm,67,79,50 - wysoka,195007
7,polskie pieśni religijne,67,55,14 - niska,4859
8,muzyka do modlitwy,67,58,19 - niska,7852
9,muzyka religijna,66,55,17 - niska,4912
10,muzyka chrześcijańska polska,66,53,16 - niska,3787
11,najlepsza muzyka chrześcijańska,66,53,15 - niska,3391
12,piosenka religijna,65,55,20 - niska,5111
13,muzyka chrześcijańska uwielbienie,65,53,18 - niska,3667
14,pieśni chrześcijańskie,64,54,20 - średnia,3907
15,pieśni katolickie,64,55,22 - średnia,4942
16,modlitwa śpiewana,64,56,25 - średnia,5389
17,psalm śpiewany,62,55,27 - średnia,4711
18,psalmy śpiewane,60,53,28 - średnia,3307
19,pieśni religijne,59,56,36 - wysoka,5418
20,pieśni uwielbienia,59,55,35 - wysoka,4839
